event_id,event_name,event_ts_raw,user_id,email_hash,phone,session_id,utm_source,utm_medium,campaign,device,country,order_id,amount_raw,currency,status,refund_raw,is_bot
1,pageview,2024-04-23T23:15:33Z,347.0,95a73da6441e2e4c62d9267c3b3e7c2c,,u8fpus810d5w,Email,(none),spring_sale,iOS,PK,,,usd,,,False
2,add-to-cart,2024-02-01 23:25:36,,05796498a2f5c79b61939a36a5782f71,0405010980,tvegdte5n0wt,tiktok,,welcome,ios,uae,,,usd,,,False
3,sign_up,2024-01-09,291.0,fe9b55944e4a1a0d9e7dea5c7fbb3db1,,z4ese0qly334,tiktok,paid_social,SPRING_SALE,iOS,AE,,,currency,,,False
4,PAGEVIEW,2024-04-18,333.0,aee7d641c92489f74415e606179f0f6d,,4webqlhsiynu,tiktok,CPC,Ramadan2024,android,,,,د.إ,,,False
5,PAGEVIEW,2024-06-18T17:26:22Z,13.0,dae3bcb4ba1e39724604d3dd630ad619,,qt6txadfq3di,TikTok,(none),brand,ios,UAE,,,usd,,,False
6,start_checkout,2024-05-12 06:29:07,220.0,,7844452245,q3yigs6qhdje,newsletter,Email,,ANDROID,,,,US$,,,False
7,pageview,2024-04-08T15:27:13Z,104.0,6d25f5051bb9436ef042e2fdde2f0650,0731457187,20bzk0fs83bc,(direct),email,brand,ios,uae,,,usd,,,False
8,addtocart,01/11/2024 20:06,384.0,124826e71b8776b16a4949fa9e327ebf,2564033664,ut2wwnq2anz7,TikTok,cpc,brand,iOS,uae,,,usd,,,False
9,PAGEVIEW,09/05/2024 15:22,375.0,a3ce2377b196522283fc8dac12e4a52d,4921790789,pcnk3vyhaaph,newsletter,,welcome,web,Sweden,,,,,,False
10,sign_up,2024/01/30 21:42,,917ac1ccae662c13c070174c38d834fa,,we7eictoffj9,Facebook,cpc,,android,SE,,,US$,,,False
11,ATC,06/10/2024 23:18,,,,zvj7qo36lhbx,fb,(none),BRAND,iOS,PK,,,US$,,,False
12,page_view,18/03/2024 20:54,421.0,a5222465ae312b2ab967d6ab33a58030,,k7afaqpdjzhd,(direct),(none),spring_sale,android,uae,,,currency,,,False
13,PageView,2024/03/09 17:40,383.0,14fef2f866db8e2145ca5777b9ed6d27,1959701083,ogtsmg9sij29,TikTok,paid_social,WELCOME,Web,,,,,,,False
14,page_view,05/05/2024 11:06,,64e6b4074f65ee02e42d5a86b6f4dfa4,4261060122,383rzmzee77y,Email,organic,SPRING_SALE,android,,,,usd,,,True
15,create_account,01/10/2024 11:08,331.0,80131ff834a84c565c32fd400241e8e9,7509183981,,newsletter,cpc,,web,,,,aed,,,False
16,PageView,2024/01/01 04:29,237.0,,8850707434,49o48hqzqf9f,newsletter,email,brand,web,,,,US$,,,False
